Rank	Site	Category	Unique Visitors (users)	Reach	Page Views	Has Advertising
377	bizrate.com	Apparel	13,000,000	0.7%	89,000,000	Yes
378	addictinggames.com	Online Games	13,000,000	0.7%	210,000,000	Yes
379	ebuddy.com	Email & Messaging	13,000,000	0.7%	250,000,000	Yes
380	priceline.com	Travel	13,000,000	0.7%	280,000,000	Yes
381	washingtonpost.com	Newspapers	13,000,000	0.7%	210,000,000	Yes
382	armorgames.com	Online Games	13,000,000	0.7%	130,000,000	Yes
383	optmd.com	Advertising & Marketing	13,000,000	0.7%	31,000,000	Yes
384	wunderground.com	Weather	13,000,000	0.7%	230,000,000	Yes
385	filesonic.com	File Sharing & Hosting	13,000,000	0.7%	88,000,000	No
386	nick.com	Online Games	13,000,000	0.7%	480,000,000	Yes
387	rr.com	Web Portals	13,000,000	0.7%	960,000,000	Yes
388	tom.com	News	13,000,000	0.7%	330,000,000	Yes
389	agame.com	Computer & Video Games	13,000,000	0.7%	210,000,000	Yes
390	indiatimes.com	Newspapers	13,000,000	0.7%	370,000,000	Yes
391	sdo.com	Online Games	13,000,000	0.7%	160,000,000	Yes
392	opera.com	Internet Clients & Browsers	13,000,000	0.7%	60,000,000	Yes
393	mynet.com	Web Portals	13,000,000	0.7%	1,400,000,000	Yes
394	univision.com	Web Portals	13,000,000	0.7%	340,000,000	Yes
395	chip.de	Computers & Electronics	13,000,000	0.7%	130,000,000	Yes
396	videobash.com	Humor	13,000,000	0.7%	50,000,000	Yes
397	usatoday.com	Newspapers	13,000,000	0.7%	190,000,000	Yes
398	ezinearticles.com	Dating & Personals	13,000,000	0.7%	67,000,000	Yes
399	accountonline.com	Credit Cards	13,000,000	0.7%	230,000,000	Yes
400	qidian.com	Fan Fiction	13,000,000	0.7%	550,000,000	Yes
401	61.com	Family-Oriented Games & Activities	13,000,000	0.7%	120,000,000	No
402	cartoonnetwork.com	Cartoons	13,000,000	0.7%	410,000,000	Yes
403	taleo.net	Management	13,000,000	0.7%	360,000,000	Yes
404	linternaute.com	Magazines	13,000,000	0.7%	250,000,000	Yes
405	foodnetwork.com	Cooking & Recipes	13,000,000	0.7%	190,000,000	Yes
406	virgilio.it	Web Portals	13,000,000	0.7%	600,000,000	Yes
407	best-price.com	Price Comparisons	13,000,000	0.7%	45,000,000	Yes
408	rakuten.ne.jp	Shopping Portals & Search Engines	13,000,000	0.7%	110,000,000	Yes
409	sp.gov.br	State & Local Government	13,000,000	0.7%	550,000,000	Yes
410	beemp3.com	Music Streams & Downloads	13,000,000	0.7%	130,000,000	Yes
411	formspring.me	Social Networks	13,000,000	0.7%	500,000,000	No
412	freeonlinegames.com	Casual Games	13,000,000	0.7%	130,000,000	Yes
413	shopathome.com	Coupons & Discount Offers	13,000,000	0.7%	160,000,000	Yes
414	ign.com	Computer & Video Games	13,000,000	0.7%	160,000,000	Yes
415	latimes.com	Newspapers	13,000,000	0.7%	97,000,000	Yes
416	people.com	Celebrities & Entertainment News	13,000,000	0.7%	720,000,000	Yes
417	tabelog.com	Dining Guides	13,000,000	0.7%	250,000,000	Yes
418	skyrock.com	Social Networks	13,000,000	0.7%	800,000,000	Yes
419	excite.co.jp	Web Portals	12,000,000	0.6%	210,000,000	Yes
420	docin.com	Advertising & Marketing	12,000,000	0.6%	73,000,000	Yes
421	ticketmaster.com	Ticket Sales	12,000,000	0.6%	250,000,000	Yes
422	local.com	Business & Personal Listings	12,000,000	0.6%	56,000,000	Yes
423	duckload.com	Web Design & Development	12,000,000	0.6%	98,000,000	Yes
424	pronto.com	Price Comparisons	12,000,000	0.6%	61,000,000	Yes
425	babycenter.com	Baby Care & Hygiene	12,000,000	0.6%	190,000,000	Yes
426	livedoor.com	Web Portals	12,000,000	0.6%	340,000,000	Yes
427	girlsgogames.com	Flash-Based Entertainment	12,000,000	0.6%	450,000,000	Yes
428	wiktionary.org	Dictionaries & Encyclopedias	12,000,000	0.6%	34,000,000	No
429	laredoute.fr	Apparel	12,000,000	0.7%	300,000,000	Yes
430	shentime.com	Movies	12,000,000	0.6%	55,000,000	Yes
431	wretch.cc	Online Journals & Personal Sites	12,000,000	0.7%	3,600,000,000	Yes
432	iza.ne.jp	News	12,000,000	0.6%	99,000,000	Yes
433	kohls.com	Apparel	12,000,000	0.6%	540,000,000	No
434	kuxun.cn	Bus & Rail	12,000,000	0.6%	130,000,000	Yes
435	usagc.org	Visa & Immigration	12,000,000	0.6%	31,000,000	Yes
436	blackberry.com	Smart Phones	12,000,000	0.6%	170,000,000	Yes
437	dropbox.com	File Sharing & Hosting	12,000,000	0.6%	190,000,000	No
438	legacy.com		12,000,000	0.6%	230,000,000	Yes
439	sfr.fr	Mobile & Wireless	12,000,000	0.6%	1,300,000,000	Yes
440	gap.com	Apparel	12,000,000	0.6%	370,000,000	Yes
441	r7.com	News	12,000,000	0.7%	280,000,000	Yes
442	91.com	Flash-Based Entertainment	12,000,000	0.6%	110,000,000	Yes
443	yfrog.com		12,000,000	0.6%	110,000,000	Yes
444	mixi.jp	Social Networks	12,000,000	0.6%	2,800,000,000	Yes
445	buenastareas.com	Educational Resources	12,000,000	0.6%	97,000,000	Yes
446	sponichi.co.jp	Sports News	12,000,000	0.6%	120,000,000	Yes
447	ztgame.com	E-Books	12,000,000	0.7%	45,000,000	No
448	gaopeng.com	Fitness	12,000,000	0.6%	25,000,000	No
449	qunar.com	Air Travel	12,000,000	0.6%	110,000,000	Yes
450	gamespot.com	Computer & Video Games	12,000,000	0.7%	120,000,000	Yes
451	ryanair.com	Air Travel	12,000,000	0.7%	110,000,000	Yes
452	51job.com	Jobs	12,000,000	0.6%	340,000,000	Yes
453	domaintools.com	Web Hosting & Domain Registration	12,000,000	0.6%	42,000,000	Yes
454	vagalume.com.br	Song Lyrics & Tabs	12,000,000	0.6%	190,000,000	Yes
455	ynet.com	News	12,000,000	0.7%	550,000,000	Yes
456	itau.com.br	Credit & Lending	12,000,000	0.6%	1,000,000,000	No
457	aufeminin.com	Women's Interests	12,000,000	0.6%	160,000,000	Yes
458	jiji.com	News	12,000,000	0.6%	140,000,000	Yes
459	buscape.com.br	Shopping Portals & Search Engines	12,000,000	0.6%	89,000,000	Yes
460	mapion.co.jp	Maps	12,000,000	0.6%	74,000,000	Yes
461	addthis.com	Internet Clients & Browsers	12,000,000	0.6%	38,000,000	No
462	pogo.com	Casual Games	12,000,000	0.6%	1,200,000,000	Yes
463	mtv.com	Music & Audio	12,000,000	0.6%	120,000,000	Yes
464	zylom.com	Online Games	12,000,000	0.6%	170,000,000	Yes
465	freeze.com	Freeware & Shareware	12,000,000	0.6%	74,000,000	Yes
466	icq.com	Forum & Chat Providers	12,000,000	0.6%	230,000,000	Yes
467	liveinternet.ru	Web Portals	12,000,000	0.6%	280,000,000	Yes
468	superpages.com	Business & Personal Listings	12,000,000	0.6%	51,000,000	Yes
469	opendns.com	Network Security	12,000,000	0.6%	120,000,000	Yes
470	naver.jp	Search Engines	12,000,000	0.6%	88,000,000	Yes
471	wan5d.com	Luxury Goods	12,000,000	0.6%	28,000,000	No
472	americanas.com.br	Shopping	12,000,000	0.6%	190,000,000	Yes
473	medicinenet.com	Health Conditions	12,000,000	0.6%	110,000,000	Yes
474	zoosk.com	Dating & Personals	12,000,000	0.6%	340,000,000	Yes
475	logsoku.com	Online Communities	12,000,000	0.6%	45,000,000	Yes
476	docstoc.com		12,000,000	0.6%	31,000,000	Yes
477	popeater.com	Celebrities & Entertainment News	12,000,000	0.6%	80,000,000	Yes
478	blogcu.com	Blogging Resources & Services	12,000,000	0.6%	88,000,000	Yes
479	evite.com	Gifts & Special Event Items	12,000,000	0.7%	170,000,000	Yes
480	aolnews.com	News	11,000,000	0.6%	74,000,000	Yes
481	shoplocal.com	Shopping Portals & Search Engines	11,000,000	0.6%	67,000,000	Yes
482	delta.com	Air Travel	11,000,000	0.6%	410,000,000	Yes
483	all-biz.info	Business & Industrial	11,000,000	0.6%	60,000,000	Yes
484	liveperson.net	Customer Relationship Management (CRM)	11,000,000	0.6%	49,000,000	No
485	interia.pl	Web Portals	11,000,000	0.6%	730,000,000	Yes
486	sanspo.com	Sports News	11,000,000	0.6%	140,000,000	Yes
487	letitbit.net	File Sharing & Hosting	11,000,000	0.6%	190,000,000	Yes
488	gazeta.pl	Newspapers	11,000,000	0.6%	370,000,000	Yes
489	apontador.com.br	City & Local Guides	11,000,000	0.6%	41,000,000	Yes
490	altervista.org	Blogging Resources & Services	11,000,000	0.6%	110,000,000	Yes
491	exoplanetwar.com	Strategy Games	11,000,000	0.6%	31,000,000	No
492	isohunt.com	Search Engines	11,000,000	0.6%	310,000,000	Yes
493	gyyx.cn	Online Games	11,000,000	0.6%	61,000,000	No
494	ebay.fr	Auctions	11,000,000	0.6%	1,100,000,000	Yes
495	citibank.com	Finance	11,000,000	0.6%	300,000,000	Yes
496	gmarket.co.kr	Shopping	11,000,000	0.6%	730,000,000	Yes
497	izlesene.com	Photo & Video Sharing	11,000,000	0.6%	190,000,000	Yes
498	hm.com	Apparel	11,000,000	0.6%	540,000,000	No
499	tao123.com	Web Portals	11,000,000	0.6%	160,000,000	Yes
500	pingan.com	Insurance	11,000,000	0.6%	51,000,000	No
501	overstock.com	Mass Merchants & Department Stores	11,000,000	0.6%	250,000,000	Yes
502	pc120.com	Antivirus & Malware	11,000,000	0.6%	50,000,000	No
503	angelfire.com	Web Hosting & Domain Registration	11,000,000	0.6%	37,000,000	Yes
504	vzw.com	Service Providers	11,000,000	0.6%	74,000,000	Yes
505	zifugame.com		11,000,000	0.6%	24,000,000	No
506	rbc.ru	Business News	11,000,000	0.6%	210,000,000	Yes
507	zillow.com	Real Estate	11,000,000	0.6%	450,000,000	Yes
508	orbitz.com	Travel	11,000,000	0.6%	210,000,000	Yes
509	infoseek.co.jp	Web Portals	11,000,000	0.6%	260,000,000	Yes
510	marketgid.info		11,000,000	0.6%	37,000,000	No
511	nike.com	Athletic Apparel	11,000,000	0.6%	210,000,000	Yes
512	elmundo.es	Newspapers	11,000,000	0.6%	210,000,000	Yes
513	etsy.com	Crafts	11,000,000	0.6%	650,000,000	No
514	it168.com	Computers & Electronics	11,000,000	0.6%	79,000,000	Yes
515	aa.com	Air Travel	11,000,000	0.6%	310,000,000	Yes
516	blog.me		11,000,000	0.6%	140,000,000	No
517	unkar.org	Forum & Chat Providers	11,000,000	0.6%	31,000,000	Yes
518	moshimonsters.com	Simulation Games	11,000,000	0.6%	280,000,000	Yes
519	huangjinquxian.com		11,000,000	0.6%	17,000,000	No
520	sprint.com	Mobile & Wireless	11,000,000	0.6%	310,000,000	Yes
521	symantec.com	Antivirus & Malware	11,000,000	0.6%	60,000,000	No
522	marca.com	Sports News	11,000,000	0.6%	450,000,000	Yes
523	mp3raid.com	Music Streams & Downloads	11,000,000	0.6%	80,000,000	Yes
524	tmz.com	Celebrities & Entertainment News	11,000,000	0.6%	230,000,000	Yes
525	t-mobile.com	Mobile Phones	11,000,000	0.6%	280,000,000	Yes
526	fazenda.gov.br	Public Finance	11,000,000	0.6%	370,000,000	No
527	pcpop.com	Search Engines	11,000,000	0.6%	120,000,000	Yes
528	barbie.com	Dress-Up & Fashion Games	11,000,000	0.6%	330,000,000	Yes
529	zhaopin.com	Job Listings	11,000,000	0.6%	280,000,000	Yes
530	doctissimo.fr	Health	11,000,000	0.6%	120,000,000	Yes
531	focus.cn	Dictionaries & Encyclopedias	11,000,000	0.6%	140,000,000	Yes
532	speedtest.net	Web Apps & Online Tools	11,000,000	0.6%	42,000,000	Yes
533	information.com	Search Engines	11,000,000	0.6%	31,000,000	Yes
534	pokerstrategy.com		11,000,000	0.6%	56,000,000	No
535	buzzle.com	Web Portals	11,000,000	0.6%	34,000,000	Yes
536	ctrip.com	Travel	11,000,000	0.6%	150,000,000	Yes
537	accuweather.com	Weather	11,000,000	0.6%	230,000,000	Yes
538	today.com	Blogging Resources & Services	11,000,000	0.6%	41,000,000	Yes
539	auction.co.kr	Price Comparisons	11,000,000	0.6%	590,000,000	No
540	multiply.com	Photo & Image Sharing	11,000,000	0.6%	210,000,000	Yes
541	acer.com	Desktop Computers	11,000,000	0.6%	90,000,000	No
542	toshiba.com	Computers & Electronics	11,000,000	0.6%	250,000,000	Yes
543	vesti.ru	News	11,000,000	0.6%	66,000,000	Yes
544	quepasa.com	Latinos & Latin-Americans	11,000,000	0.6%	210,000,000	Yes
545	ucjoy.com	Computer & Video Games	10,000,000	0.5%	23,000,000	No
546	pchome.net	Computers & Electronics	10,000,000	0.5%	80,000,000	Yes
547	citysearch.com	City & Local Guides	10,000,000	0.5%	38,000,000	Yes
548	tuenti.com	Social Networks	10,000,000	0.5%	23,000,000,000	No
549	chosun.com	Newspapers	10,000,000	0.5%	280,000,000	Yes
550	causes.com	Social Issues & Advocacy	10,000,000	0.5%	37,000,000	Yes
551	oi.com.br	Web Portals	10,000,000	0.5%	210,000,000	Yes
552	ebay.it	E-Commerce Services	10,000,000	0.5%	720,000,000	Yes
553	buycheapr.com	Consumer Electronics	10,000,000	0.5%	49,000,000	Yes
554	85play.com	Games	10,000,000	0.5%	89,000,000	Yes
555	stardoll.com	Dress-Up & Fashion Games	10,000,000	0.5%	870,000,000	Yes
556	ip138.com	Directories & Listings	10,000,000	0.5%	56,000,000	Yes
557	fixya.com	Consumer Resources	10,000,000	0.5%	41,000,000	Yes
558	kijiji.ca	Shopping	10,000,000	0.5%	1,400,000,000	Yes
559	aweber.com	Email & Messaging	10,000,000	0.5%	74,000,000	Yes
560	xe.com	Travel	10,000,000	0.5%	120,000,000	Yes
561	letao.com	Footwear	10,000,000	0.5%	73,000,000	No
562	time.com	News	10,000,000	0.5%	97,000,000	Yes
563	gnavi.co.jp	Dining Guides	10,000,000	0.5%	160,000,000	Yes
564	wetter.com	Weather	10,000,000	0.5%	140,000,000	Yes
565	cri.cn	News	10,000,000	0.5%	130,000,000	Yes
566	filehippo.com	File Sharing & Hosting	10,000,000	0.5%	66,000,000	Yes
567	01net.com	Technology News	9,900,000	0.5%	110,000,000	Yes
568	sapo.pt	Web Portals	9,900,000	0.5%	490,000,000	Yes
569	webry.info	Military	9,900,000	0.5%	60,000,000	Yes
570	tinypic.com	Photo & Video Sharing	9,900,000	0.5%	45,000,000	Yes
571	costco.com	Mass Merchants & Department Stores	9,900,000	0.5%	190,000,000	No
572	playstation.com	Sony PlayStation	9,900,000	0.5%	130,000,000	Yes
573	cbsnews.com	News	9,900,000	0.5%	98,000,000	Yes
574	ea.com	Computer & Video Games	9,900,000	0.5%	120,000,000	Yes
575	pbskids.org		9,900,000	0.5%	960,000,000	Yes
576	novoteka.ru	Newspapers	9,900,000	0.5%	110,000,000	Yes
577	2144.cn	Online Games	9,900,000	0.5%	250,000,000	Yes
578	olx.com.br	Classifieds	9,900,000	0.5%	54,000,000	Yes
579	spiegel.de	Newspapers	9,900,000	0.5%	330,000,000	Yes
580	alexa.com	Advertising & Marketing	9,900,000	0.5%	210,000,000	Yes
581	pixnet.net	Online Journals & Personal Sites	9,900,000	0.5%	160,000,000	Yes
582	nikkeibp.co.jp	Business News	9,900,000	0.5%	130,000,000	Yes
583	qip.ru	Web Portals	9,900,000	0.5%	250,000,000	Yes
584	tistory.com	Blogging Resources & Services	9,900,000	0.5%	67,000,000	Yes
585	makepolo.com	E-Commerce Services	9,900,000	0.5%	81,000,000	Yes
586	usafis.org	Visa & Immigration	9,900,000	0.5%	19,000,000	No
587	last.fm	Music Streams & Downloads	9,900,000	0.5%	82,000,000	Yes
588	marriott.com	Hotels & Accommodations	9,900,000	0.5%	190,000,000	No
589	lego.com	Toys	9,900,000	0.5%	600,000,000	No
590	realtor.com	Real Estate Listings	9,900,000	0.5%	370,000,000	Yes
591	ed.gov	Education	9,900,000	0.5%	340,000,000	No
592	mtime.com	Movies	9,900,000	0.5%	89,000,000	Yes
593	ninemsn.com.au	Celebrities & Entertainment News	9,900,000	0.5%	440,000,000	Yes
594	godaddy.com	Web Hosting & Domain Registration	9,900,000	0.5%	230,000,000	Yes
595	lashou.com	Coupons & Discount Offers	9,900,000	0.5%	81,000,000	No
596	merriam-webster.com	Dictionaries & Encyclopedias	9,900,000	0.5%	66,000,000	Yes
597	issuu.com	Software Utilities	9,900,000	0.5%	35,000,000	Yes
598	ct10000.com	Phone Service Providers	9,800,000	0.5%	130,000,000	Yes
599	sky.com	Web Portals	9,800,000	0.5%	530,000,000	Yes
600	hc360.com	E-Commerce Services	9,800,000	0.5%	120,000,000	Yes
601	27.cn	Beauty & Fitness	9,800,000	0.5%	230,000,000	Yes
602	ca.gov	State & Local Government	9,800,000	0.5%	370,000,000	Yes
603	wat.tv	Online Video	9,800,000	0.5%	68,000,000	Yes
604	howstuffworks.com	How-To&sbquo; DIY & Expert Content	9,800,000	0.5%	73,000,000	Yes
605	barnesandnoble.com	Book Retailers	9,800,000	0.5%	210,000,000	Yes
606	szgla.com	Video Game Retailers	9,800,000	0.5%	23,000,000	Yes
607	aljazeera.net	TV Networks & Stations	9,800,000	0.5%	170,000,000	Yes
608	plentyoffish.com	Online Communities	9,800,000	0.5%	2,800,000,000	Yes
609	forbes.com	Business News	9,800,000	0.5%	98,000,000	Yes
610	japanpost.jp	Mail & Package Delivery	9,800,000	0.5%	190,000,000	No
611	120ask.com	Health Conditions	9,800,000	0.5%	46,000,000	Yes
612	sympatico.ca	Web Portals	9,800,000	0.5%	170,000,000	Yes
613	hilton.com	Hotels & Accommodations	9,800,000	0.5%	170,000,000	No
614	rutube.ru	Video Sharing	9,800,000	0.5%	88,000,000	Yes
615	wachovia.com	Banking	9,700,000	0.5%	540,000,000	Yes
616	timeanddate.com	Time & Calendars	9,100,000	0.5%	37,000,000	Yes
617	citi.com	Finance	9,100,000	0.5%	50,000,000	Yes
618	115.com	Search Engines	9,100,000	0.5%	66,000,000	Yes
619	mercadolibre.com.mx	Classifieds	9,100,000	0.5%	340,000,000	Yes
620	198game.net	Games	9,100,000	0.5%	25,000,000	No
621	victoriassecret.com	Undergarments	9,100,000	0.5%	490,000,000	Yes
622	mundoanuncio.com	Classifieds	9,100,000	0.5%	170,000,000	Yes
623	zhcw.com		9,100,000	0.5%	110,000,000	Yes
624	teacup.com	Forum & Chat Providers	9,100,000	0.5%	98,000,000	Yes
625	china.com.cn	Internet & Telecom	9,100,000	0.5%	61,000,000	Yes
626	coupons.com	Coupons & Discount Offers	9,100,000	0.5%	210,000,000	Yes
627	nickjr.com	TV Family-Oriented Shows	9,100,000	0.5%	540,000,000	Yes
628	yoka.com	Fashion & Style	9,100,000	0.5%	230,000,000	Yes
629	kayak.com	Air Travel	9,100,000	0.5%	120,000,000	Yes
630	speeddate.com	Dating & Personals	9,100,000	0.5%	210,000,000	Yes
631	hotwire.com	Travel	9,100,000	0.5%	90,000,000	Yes
632	discovercard.com	Credit Cards	9,100,000	0.5%	230,000,000	Yes
633	jalan.net	Hotels & Accommodations	9,100,000	0.5%	340,000,000	Yes
634	mgid.com	Price Comparisons	9,100,000	0.5%	60,000,000	Yes
635	toysrus.com	Toys	9,100,000	0.5%	230,000,000	No
636	pointblank.ru	Computer & Video Games	9,100,000	0.5%	18,000,000	Yes
637	mt.co.kr	Investing	9,100,000	0.5%	97,000,000	Yes
638	veoh.com	Online Video	9,100,000	0.5%	67,000,000	Yes
639	me.com	Mobile Apps & Add-Ons	9,100,000	0.5%	190,000,000	Yes
640	5d6d.com	Movies	9,100,000	0.5%	87,000,000	Yes
641	rian.ru	Web Portals	9,000,000	0.5%	67,000,000	Yes
642	yiqiwin.com	Acupuncture & Chinese Medicine	9,000,000	0.5%	28,000,000	No
643	webcrawler.com	Search Engines	9,000,000	0.5%	50,000,000	Yes
644	juegosjuegos.com	Games	9,000,000	0.5%	340,000,000	Yes
645	elpais.com	Newspapers	9,000,000	0.5%	210,000,000	Yes
646	kboing.com.br	Music Streams & Downloads	9,000,000	0.5%	370,000,000	Yes
647	boc.cn	Currencies & Foreign Exchange	9,000,000	0.5%	170,000,000	No
648	acrobat.com	Business & Productivity Software	9,000,000	0.5%	50,000,000	No
649	cmbchina.com	Banking	9,000,000	0.5%	110,000,000	No
650	esmas.com	Web Portals	9,000,000	0.5%	160,000,000	Yes
651	11st.co.kr	Home Financing	9,000,000	0.5%	380,000,000	No
652	zappos.com	Apparel	9,000,000	0.5%	280,000,000	No
653	mundodastribos.com	Arts & Entertainment	9,000,000	0.5%	28,000,000	Yes
654	weather.gov	Weather	9,000,000	0.5%	190,000,000	No
655	bigfishgames.com	Computer & Video Games	9,000,000	0.5%	180,000,000	Yes
656	groupon.jp	Coupons & Discount Offers	9,000,000	0.5%	51,000,000	Yes
657	peixeurbano.com.br	Coupons & Discount Offers	9,000,000	0.5%	89,000,000	Yes
658	dion.ne.jp	ISPs	9,000,000	0.5%	55,000,000	Yes
659	travelzoo.com	Travel Agencies & Services	9,000,000	0.5%	74,000,000	Yes
660	rising.cn		9,000,000	0.5%	250,000,000	Yes
661	groupon.co.uk	Coupons & Discount Offers	9,000,000	0.5%	67,000,000	No
662	v1.cn	Fashion & Style	9,000,000	0.5%	34,000,000	Yes
663	intelius.com	People Search	9,000,000	0.5%	110,000,000	Yes
664	national-lottery.co.uk		9,000,000	0.5%	310,000,000	Yes
665	euroresidentes.com	Web Portals	9,000,000	0.5%	45,000,000	Yes
666	bloomberg.com	Business News	9,000,000	0.5%	140,000,000	Yes
667	europa.eu	Multilateral Organizations	9,000,000	0.5%	110,000,000	No
668	qqwangming.org	Online Goodies	9,000,000	0.5%	120,000,000	Yes
669	114la.com	Directories & Listings	9,000,000	0.5%	250,000,000	Yes
670	24h.com.vn	News	9,000,000	0.5%	590,000,000	Yes
671	yaplog.jp	Blogging Resources & Services	9,000,000	0.5%	67,000,000	Yes
672	onlinedown.net	Software	9,000,000	0.5%	28,000,000	Yes
673	duote.com	Software	9,000,000	0.5%	55,000,000	Yes
674	credit-agricole.fr	Banking	9,000,000	0.5%	400,000,000	Yes
675	oricon.co.jp	Music & Audio	9,000,000	0.5%	67,000,000	Yes
676	nydailynews.com	Gossip & Tabloid News	9,000,000	0.5%	67,000,000	Yes
677	plala.or.jp	ISPs	9,000,000	0.5%	73,000,000	Yes
678	ancestry.com	Ancestry & Genealogy	9,000,000	0.5%	970,000,000	Yes
679	sanook.com	Web Portals	9,000,000	0.5%	480,000,000	Yes
680	etao.com	Fashion & Style	9,000,000	0.5%	50,000,000	Yes
681	dipan.com	Computer & Video Games	9,000,000	0.5%	31,000,000	Yes
682	cookpad.com	Cooking & Recipes	9,000,000	0.5%	370,000,000	Yes
683	hurriyet.com.tr	Newspapers	9,000,000	0.5%	800,000,000	Yes
684	android.com	Mobile Apps & Add-Ons	9,000,000	0.5%	130,000,000	No
685	righthealth.com	Medical Literature & Resources	9,000,000	0.5%	37,000,000	Yes
686	windowsmedia.com	Music & Audio	9,000,000	0.5%	23,000,000	Yes
687	ojogos.com.br	Online Games	9,000,000	0.5%	250,000,000	Yes
688	amazon.fr	Shopping Portals & Search Engines	9,000,000	0.5%	210,000,000	No
689	tesco.com	Mass Merchants & Department Stores	9,000,000	0.5%	360,000,000	Yes
690	hyves.nl	Social Networks	9,000,000	0.5%	3,600,000,000	Yes
691	enfemenino.com	Women's Interests	9,000,000	0.5%	54,000,000	Yes
692	weebly.com	Web Design & Development	9,000,000	0.5%	73,000,000	Yes
693	xpg.com.br	Web Hosting & Domain Registration	9,000,000	0.5%	98,000,000	Yes
694	poptropica.com	Virtual Worlds	9,000,000	0.5%	870,000,000	No
695	dygod.net	TV Shows & Programs	8,900,000	0.5%	50,000,000	Yes
696	fidelity.com	Retirement & Pension	8,900,000	0.5%	540,000,000	Yes
697	nokia.com	Mobile Phones	8,900,000	0.5%	98,000,000	No
698	vnet.cn	Web Portals	8,900,000	0.5%	45,000,000	Yes
699	nhl.com	Hockey	8,900,000	0.5%	210,000,000	Yes
700	espncricinfo.com	Cricket	8,900,000	0.5%	230,000,000	Yes
701	impress.co.jp	Computers & Electronics	8,900,000	0.5%	120,000,000	Yes
702	otto.de	Mass Merchants & Department Stores	8,900,000	0.5%	440,000,000	No
703	kickasstorrents.com	File Sharing & Hosting	8,900,000	0.5%	120,000,000	Yes
704	gd118114.cn	Web Services	8,900,000	0.5%	31,000,000	Yes
705	autotrader.com	Vehicle Shopping	8,900,000	0.5%	410,000,000	Yes
706	direct.gov.uk	Law & Government	8,900,000	0.5%	400,000,000	Yes
707	coolmath-games.com	Mathematics	8,900,000	0.5%	230,000,000	Yes
708	vevo.com	Music Streams & Downloads	8,900,000	0.5%	51,000,000	Yes
709	shvoong.com	Arts & Entertainment	8,900,000	0.5%	23,000,000	Yes
710	fandango.com	Movie Listings & Theater Showtimes	8,900,000	0.5%	98,000,000	Yes
711	mayoclinic.com	Health Conditions	8,900,000	0.5%	66,000,000	Yes
712	zaycev.net	Music Streams & Downloads	8,900,000	0.5%	410,000,000	Yes
713	readnovel.com	E-Books	8,900,000	0.5%	540,000,000	Yes
714	thesun.co.uk	Newspapers	8,900,000	0.5%	140,000,000	Yes
715	atwiki.jp	Web Hosting & Domain Registration	8,900,000	0.5%	210,000,000	Yes
716	yesky.com	Computers & Electronics	8,800,000	0.5%	74,000,000	Yes
717	travelocity.com	Travel Agencies & Services	8,800,000	0.5%	210,000,000	Yes
718	livescore.com		8,800,000	0.5%	720,000,000	Yes
719	ovi.com	Mobile Apps & Add-Ons	8,800,000	0.5%	250,000,000	No
720	vnexpress.net	News	8,800,000	0.5%	600,000,000	Yes
721	kp.ru	News	8,800,000	0.5%	80,000,000	Yes
722	stumbleupon.com	Web Apps & Online Tools	8,300,000	0.4%	230,000,000	Yes
723	discovery.com	TV Networks & Stations	8,300,000	0.4%	73,000,000	Yes
724	bahn.de	Bus & Rail	8,300,000	0.4%	170,000,000	Yes
725	topix.com	Local News	8,300,000	0.4%	110,000,000	Yes
726	noaa.gov	Water & Marine Sciences	8,300,000	0.4%	130,000,000	No
727	shangdu.com		8,300,000	0.4%	98,000,000	Yes
728	programas-gratis.net	Software	8,300,000	0.4%	51,000,000	Yes
729	trulia.com	Real Estate Listings	8,300,000	0.4%	250,000,000	Yes
730	repubblica.it	Politics	8,300,000	0.4%	370,000,000	Yes
731	associatedcontent.com	General Reference	8,300,000	0.4%	31,000,000	Yes
732	goal.com	Soccer	8,300,000	0.4%	120,000,000	Yes
733	archive.org	General Reference	8,300,000	0.4%	80,000,000	No
734	pclady.com.cn	Fashion & Style	8,300,000	0.4%	140,000,000	Yes
735	ibm.com	Computers & Electronics	8,200,000	0.4%	170,000,000	No
736	nationalgeographic.com	Magazines	8,200,000	0.4%	88,000,000	Yes
737	digg.com	Online Communities	8,200,000	0.4%	50,000,000	Yes
738	iciba.com	Language Resources	8,200,000	0.4%	110,000,000	Yes
739	wwe.com	Sports	8,200,000	0.4%	140,000,000	Yes
740	videosurf.com	Online Video	8,200,000	0.4%	89,000,000	Yes
741	gismeteo.ru	Weather	8,200,000	0.4%	140,000,000	Yes
742	myvideo.de	Online Video	8,200,000	0.4%	110,000,000	Yes
743	partypoker.fr		8,200,000	0.4%	42,000,000	Yes
744	usbank.com	Banking	8,200,000	0.4%	440,000,000	No
745	xcar.com.cn	Autos & Vehicles	8,200,000	0.4%	310,000,000	Yes
746	bleacherreport.com	American Football	8,200,000	0.4%	300,000,000	Yes
747	geocities.co.jp	Web Hosting & Domain Registration	8,200,000	0.4%	41,000,000	Yes
748	rtl.de	TV Networks & Stations	8,200,000	0.4%	140,000,000	Yes
749	drugs.com	Health	8,200,000	0.4%	45,000,000	Yes
750	haodf.com	Hospitals & Treatment Centers	8,200,000	0.4%	81,000,000	No
751	chinadaily.com.cn	News	8,200,000	0.4%	55,000,000	Yes
752	juegosdiarios.com	Casual Games	8,200,000	0.4%	230,000,000	Yes
